id	batch	condition	fastq1	fastq2	
UPI_T2DSyst_138	UPI	ND_T2D	UPI_T2DSyst_138_clean_R1.fq.gz	UPI_T2DSyst_138_clean_R2.fq.gz	
UPI_T2DSyst_139	UPI	ND_T2D	UPI_T2DSyst_139_clean_R1.fq.gz	UPI_T2DSyst_139_clean_R2.fq.gz	
UPI_T2DSyst_140	UPI	ND_T2D	UPI_T2DSyst_140_clean_R1.fq.gz	UPI_T2DSyst_140_clean_R2.fq.gz	
UPI_T2DSyst_141	UPI	ND_T2D	UPI_T2DSyst_141_clean_R1.fq.gz	UPI_T2DSyst_141_clean_R2.fq.gz	
UPI_T2DSyst_145	UPI	ND_T2D	UPI_T2DSyst_145_clean_R1.fq.gz	UPI_T2DSyst_145_clean_R2.fq.gz	
UPI_T2DSyst_146	UPI	ND_T2D	UPI_T2DSyst_146_clean_R1.fq.gz	UPI_T2DSyst_146_clean_R2.fq.gz	
UPI_T2DSyst_150	UPI	ND_T2D	UPI_T2DSyst_150_clean_R1.fq.gz	UPI_T2DSyst_150_clean_R2.fq.gz	
UPI_T2DSyst_151	UPI	ND_T2D	UPI_T2DSyst_151_clean_R1.fq.gz	UPI_T2DSyst_151_clean_R2.fq.gz	
UPI_T2DSyst_152	UPI	ND_T2D	UPI_T2DSyst_152_clean_R1.fq.gz	UPI_T2DSyst_152_clean_R2.fq.gz	
UPI_T2DSyst_153	UPI	ND_T2D	UPI_T2DSyst_153_clean_R1.fq.gz	UPI_T2DSyst_153_clean_R2.fq.gz	
UPI_T2DSyst_154	UPI	ND_T2D	UPI_T2DSyst_154_clean_R1.fq.gz	UPI_T2DSyst_154_clean_R2.fq.gz	
UPI_T2DSyst_156	UPI	ND_T2D	UPI_T2DSyst_156_clean_R1.fq.gz	UPI_T2DSyst_156_clean_R2.fq.gz	
UPI_T2DSyst_157	UPI	ND_T2D	UPI_T2DSyst_157_clean_R1.fq.gz	UPI_T2DSyst_157_clean_R2.fq.gz	
UPI_T2DSyst_158	UPI	ND_T2D	UPI_T2DSyst_158_clean_R1.fq.gz	UPI_T2DSyst_158_clean_R2.fq.gz	
UPI_T2DSyst_160	UPI	ND_T2D	UPI_T2DSyst_160_clean_R1.fq.gz	UPI_T2DSyst_160_clean_R2.fq.gz	
UPI_T2DSyst_162	UPI	ND_T2D	UPI_T2DSyst_162_clean_R1.fq.gz	UPI_T2DSyst_162_clean_R2.fq.gz	
UPI_T2DSyst_163	UPI	ND_T2D	UPI_T2DSyst_163_clean_R1.fq.gz	UPI_T2DSyst_163_clean_R2.fq.gz	
UPI_T2DSyst_165	UPI	ND_T2D	UPI_T2DSyst_165_clean_R1.fq.gz	UPI_T2DSyst_165_clean_R2.fq.gz	
UPI_T2DSyst_168	UPI	ND_T2D	UPI_T2DSyst_168_clean_R1.fq.gz	UPI_T2DSyst_168_clean_R2.fq.gz	
UPI_T2DSyst_169	UPI	ND_T2D	UPI_T2DSyst_169_clean_R1.fq.gz	UPI_T2DSyst_169_clean_R2.fq.gz	
